,Mean Freq,Thuc_Book1,Aesch_Ag,Aesch_Cho,Aesch_Eumen,Aesch_Pers,Aesch_PromV,Aesch_Septem,Aesch_Supp,Athenaeus_Book12,Athenaeus_Book13,DioSic_Book11,Hdt_Book1,Hesiod_Theog,Hesiod_Works,Homer_Iliad,HomerJr_Odyssey,Lysias_Orat1,Lysias_Orat14,Plato_Euth,Plut_Lyc,Polybius_Book1,Soph_Ajax,Soph_Antig,Soph_Elec,Soph_OT,Soph_Trach
auxc-pred-co-coord-root,0.230,0.306122449,0.244748113,0.19838242,0.26645768,0.28708134,0.170019836,0.128369705,0.168095478,0.091631032,0.118614582,0.032015367,0.165524852,0.209721194,0.576285838,0.407854151,0.439607379,0.176429076,0.214209211,0.688863375,0.121404557,0.042450828,0.158328056,0.194263513,0.209743541,0.098345999,0.2605937
adv-co-coord-pred-root,0.307,0.56122449,0.122374057,0.167862048,0.188087774,0.14354067,0.240861434,0.128369705,0.252143217,0.493789452,0.545627076,0.496238194,0.464389167,0.123365408,0.115257168,0.108077406,0.131704235,0.494001411,0.357015352,0.114810563,0.70974972,1.160322626,0.126662445,0.205690778,0.095337973,0.23245418,0.192612735
atr-obj-adv-pred-root,0.367,0.204081633,0.509891903,0.427285213,0.532915361,0.462519936,0.510059507,0.401155327,0.437048243,0.509061291,0.628657283,0.624299664,0.432203779,0.111028868,0.172885751,0.097821885,0.092548922,0.247000706,0.142806141,0.032803018,0.429585357,0.778265176,0.474984167,0.308536167,0.295547717,0.259275816,0.407885792
atr-adv-auxp-pred-root,0.304,0.306122449,0.193758923,0.228902793,0.250783699,0.111642743,0.028336639,0.096277279,0.369810052,0.957035227,0.834255891,0.60829198,0.533357856,0.246730817,0.201700043,0.107288519,0.096998389,0.352858151,0.214209211,0.082007545,0.345536048,0.806565728,0.168883259,0.25139984,0.181142149,0.169870362,0.147292092
obj-obj-pred-root,0.346,0.196793003,0.41811136,0.412025027,0.454545455,0.19138756,0.580901105,0.433247754,0.336190956,0.330889839,0.553534715,0.336161357,0.395420479,0.037009623,0.086442876,0.151466145,0.123695194,0.423429781,0.464119957,0.31162867,0.382891296,0.222866846,0.45387376,0.37709976,0.476689866,0.572194904,0.271923861
auxx-adv-pred-root,0.326,0.247813411,0.31613298,0.228902793,0.282131661,0.207336523,0.198356475,0.385109114,0.23533367,0.249440033,0.395381939,0.768368817,0.537955768,0.172711572,0.302550065,0.052855373,0.133484022,0.494001411,0.214209211,0.016401509,0.644378035,0.838403849,0.485539371,0.274254371,0.238344933,0.241394725,0.305914344
pnom-pred-root,0.334,0.371720117,0.305935142,0.335724096,0.423197492,0.223285486,0.212524795,0.256739409,0.420238696,0.615964162,0.695872213,0.224107572,0.514966205,0.012336541,0.259328627,0.097821885,0.094328709,0.494001411,0.464119957,0.295227161,0.298841987,0.258242536,0.200548871,0.354245229,0.419487082,0.536432722,0.294584183
auxx-auxc-pred-co-coord-root,0.176,0.255102041,0.193758923,0.091561117,0.094043887,0.223285486,0.127514877,0.064184852,0.100857287,0.086540419,0.079076388,0.048023051,0.133339464,0.209721194,0.576285838,0.277687932,0.407571214,0.105857445,0.214209211,0.31162867,0.084049309,0.045988397,0.158328056,0.159981716,0.171608352,0.11622709,0.24926354
adv-adv-pred-co-coord-root,0.145,0.196793003,0.234550275,0.213642606,0.062695925,0.159489633,0.028336639,0.096277279,0.067238191,0.03563429,0.06326111,0.096046102,0.105751989,0.382432766,0.46102867,0.442565142,0.268747831,0.035285815,0.035701535,0,0.084049309,0.106127069,0.327211315,0.102845389,0.085804176,0.035762181,0.033990483
adv-adv-pred-root,0.252,0.2696793,0.275341628,0.106821303,0.297805643,0.159489633,0.184188155,0.224646983,0.168095478,0.234168194,0.328167009,0.352169041,0.27127684,0.271403898,0.38899294,0.226410331,0.145052637,0.388143966,0.035701535,0.032803018,0.317519612,0.45280883,0.591091408,0.239972575,0.209743541,0.268216361,0.113301609
coord-coord-root,0.229,0.225947522,0.091780543,0.061040745,0.078369906,0.350877193,0.085009918,0.096277279,0.084047739,0.132355936,0.098845485,0.272130623,0.25288519,0.271403898,0.648321567,0.176710502,0.306123357,0.458715596,0.178507676,0.442840741,0.22413149,0.275930381,0.179438463,0.331390698,0.238344933,0.143048726,0.24926354
obj-adv-auxc-pred-root,0.228,0.204081633,0.173363247,0.244162979,0.172413793,0.223285486,0.297534712,0.112323492,0.268952765,0.208715129,0.181875692,0.112053786,0.262081015,0.098692327,0.129664313,0.200377088,0.26607815,0.282286521,0.321313816,0.14761358,0.074710497,0.109664638,0.232214482,0.25139984,0.572027839,0.375502906,0.396555631
atr-obj-auxp-pred-co-coord-root,0.133,0.102040816,0.091780543,0.106821303,0.156739812,0.207336523,0.155851516,0.080231065,0.168095478,0.045815516,0.027676736,0.368176725,0.170122764,0.259067358,0.129664313,0.353421005,0.316802079,0.07057163,0.035701535,0.049204527,0.018677624,0.162728173,0.031665611,0.091418124,0.066736581,0.107286544,0.090641287
obj-auxp-pred-root,0.220,0.116618076,0.387517846,0.366244468,0.172413793,0.23923445,0.368376311,0.304878049,0.336190956,0.188352678,0.173968053,0.416199776,0.262081015,0.123365408,0.144071459,0.197221543,0.207345181,0,0.035701535,0.049204527,0.158759806,0.275930381,0.274435297,0.239972575,0.219277338,0.295037997,0.169952413
auxy-coord-pred-root,0.217,0.349854227,0.081582704,0.167862048,0.12539185,0.175438596,0.028336639,0.096277279,0.168095478,0.325799226,0.288628815,0.240115255,0.395420479,0.123365408,0.302550065,0.19169934,0.149502105,0.211714891,0.428418422,0.098409054,0.438924169,0.364369605,0.105552037,0.25139984,0.133473162,0.268216361,0.135961931
adv-auxc-pred-co-coord-root,0.145,0.233236152,0.163165409,0.091561117,0.156739812,0.19138756,0.113346557,0.064184852,0.067238191,0.076359194,0.098845485,0.016007684,0.119545726,0.160375031,0.403400086,0.300565631,0.320361653,0.035285815,0.107104605,0.31162867,0.093388121,0.042450828,0.105552037,0.148554451,0.14300696,0.071524363,0.147292092
atr-adv-auxp-pred-co-coord-root,0.184,0.357142857,0.112176219,0.061040745,0.047021944,0.207336523,0,0.272785623,0.134476383,0.167990226,0.225367705,0.512245878,0.326451791,0.604490501,0.216107189,0.216154811,0.190437205,0.07057163,0.107104605,0.114810563,0.093388121,0.41743314,0.08444163,0.022854531,0.076270378,0.044702727,0.113301609
sbj-coord-root,0.154,0.306122449,0.020395676,0.061040745,0.078369906,0.14354067,0.127514877,0.128369705,0,0.142537161,0.197690969,0.400192092,0.211503977,0.061682704,0.230514335,0.237454738,0.256289322,0.317572336,0.178507676,0.049204527,0.149420994,0.283005519,0.010555204,0.182836247,0.085804176,0.053643272,0.079311126
sbj-co-coord-pred-root,0.206,0.320699708,0.081582704,0.137341676,0.172413793,0.14354067,0.113346557,0.144415918,0.285762313,0.447973936,0.395381939,0.272130623,0.19771024,0.074019245,0.172885751,0.174343844,0.129924448,0.07057163,0.285612281,0.098409054,0.420246545,0.226404415,0.116107241,0.228545309,0.228811135,0.214573089,0.215273057
atr-obj-adv-pred-co-coord-root,0.179,0.153061224,0.469100551,0.244162979,0.094043887,0.33492823,0.198356475,0.272785623,0.117666835,0.076359194,0.110706943,0.43220746,0.248287278,0.259067358,0.172885751,0.254810233,0.172639335,0,0,0.032803018,0.056032873,0.176878449,0.253324889,0.25139984,0.14300696,0.071524363,0.067980965
auxg-pred-root,0.060,0.218658892,0,0,0,0,0,0,0,0.117084097,0.114660762,0,0.174720677,0.012336541,0,0.042599853,0.675429151,0.14114326,0,0.016401509,0,0.028300552,0.010555204,0,0,0,0
auxp-adv-pred-root,0.217,0.138483965,0.152967571,0.137341676,0.329153605,0.031897927,0.141683196,0.176508344,0.184905026,0.509061291,0.395381939,0.400192092,0.363235091,0.172711572,0.158478605,0.091510796,0.084539881,0.247000706,0.107104605,0.032803018,0.308180799,0.643837555,0.211104074,0.239972575,0.133473162,0.089405454,0.158622252
pnom-pred-co-coord-root,0.162,0.400874636,0.081582704,0.137341676,0.235109718,0.09569378,0.042504959,0.20860077,0.134476383,0.188352678,0.233275344,0.12806147,0.25288519,0.086355786,0.302550065,0.160143893,0.170859548,0.07057163,0.035701535,0.393636215,0.168098618,0.123814914,0.105552037,0.12569992,0.095337973,0.134108181,0.101971448
auxx-pred-co-coord-root,0.226,0.83819242,0,0,0.078369906,0.015948963,0,0,0.033619096,0.269802484,0.513996521,0.976468705,0.928778335,0,0,0.007099976,0.011568615,0.741002117,0.428418422,0,0.53231229,0.498797227,0,0.011427265,0,0,0
auxy-exd-pred-root,0.287,0,0.560881093,0.564626888,0.470219436,0.127591707,0.566732785,0.481386393,0.521095983,0,0.003953819,0,0,0.123365408,0.288142919,0.108077406,0.09966807,0,0,1.049696572,0.009338812,0,0.569981001,0.491372415,0.562494041,0.509611086,0.362565148
auxp-adv-pred-co-coord-root,0.112,0.131195335,0.152967571,0.091561117,0.094043887,0.079744817,0.056673279,0.080231065,0.033619096,0.061087355,0.086984027,0.240115255,0.156329027,0.29607698,0.158478605,0.242188055,0.210904755,0.105857445,0.035701535,0.065606036,0.093388121,0.141502759,0.147772852,0.068563593,0.028601392,0.026821636,0.022660322
