"","x"
"528","#-pred-v-obj-p-atr-v"
"529","#-pred-v-sbj-v-sbj-p"
"530","#-pred-v-sbj-v-sbj-p"
"531","#-coord-c-auxc-c-coord-c-adv_co-v"
"532","#-coord-c-auxc-c-coord-c-adv_co-v"
"533","#-coord-c-pred_co-v-adv-v-coord-c-obj_co-n"
"534","#-coord-c-pred_co-v-adv-v-coord-c-obj_co-n"
"535","#-coord-c-auxp-r"
"536","#-coord-c-auxp-r"
"537","#-coord-c-coord-c-pred_co-v-auxp-r-adv-n"
"538","#-coord-c-coord-c-pred_co-v-auxp-r-adv-n"
"539","#-coord-c-pred_co-v-adv-d-auxz-d"
"540","#-coord-c-pred_co-v-adv-d-auxz-d"
"541","#-pred--sbj-a"
"542","#-pred--sbj-a"
"543","#-pred--exd-e"
"544","#-pred--exd-e"
"545","#-coord-c-pred_co-v-adv-v-adv-n"
"546","#-coord-c-pred_co-v-adv-v-adv-n"
"547","#-pred-v-coord-c-obj_co-n-atr-n"
"548","#-pred-v-coord-c-obj_co-n-atr-n"
"549","#-pred-v-auxc-c-adv-"
"550","#-pred-v-auxc-c-adv-"
"551","#-pred-v-auxc-c-coord-c-auxy-d"
"552","#-pred-v-auxc-c-coord-c-auxy-d"
"553","#-coord-c-coord-c-pred_co-v-obj-p"
"554","#-coord-c-coord-c-pred_co-v-obj-p"
"555","#-pred-v-coord-c-adv_co-v-adv-d"
"556","#-pred-v-coord-c-adv_co-v-adv-d"
"557","#-pred-v-obj-v-obj-n-atr-l"
"558","#-pred-v-obj-v-obj-n-atr-l"
"559","#-pred-v-auxc-c-adv-v-obj-a"
"560","#-pred-v-auxc-c-adv-v-obj-a"
"561","#-pred-v-auxp-r-obj-n-atr-l"
"562","#-pred-v-auxp-r-obj-n-atr-l"
"563","#-pred-v-obj-v-auxz-d"
"564","#-pred-v-obj-v-auxz-d"
"565","#-pred-v-obj-n-atr-v-obj-p"
"566","#-pred-v-obj-n-atr-v-obj-p"
"567","#-coord-c-pred_co-v-auxp-r-obj-a"
"568","#-coord-c-pred_co-v-auxp-r-obj-a"
"569","#-pred-v-sbj-p-atv-a"
"570","#-pred-v-sbj-p-atv-a"
"571","#-pred--sbj-n-atr-n"
"572","#-pred--sbj-n-atr-n"
"573","#-pred--auxz-d"
"574","#-pred--auxz-d"
"575","#-pred-v-auxy-d-auxg-u"
"576","#-pred-v-auxy-d-auxg-u"
"577","#-coord-c-pred_co-v-obj-n-atr-p"
"578","#-coord-c-pred_co-v-obj-n-atr-p"
"579","#-coord-u-auxy-d"
"580","#-coord-u-auxy-d"
"581","#-pred-v-pnom-v"
"582","#-pred-v-pnom-v"
"583","#-coord-c-coord-c-pred_co-"
"584","#-coord-c-coord-c-pred_co-"
"585","#-pred-v-adv-v-coord-c-obj_co-v"
"586","#-pred-v-adv-v-coord-c-obj_co-v"
"587","#-pred-v-auxc-c-adv-v-coord-c-obj_co-n"
"588","#-pred-v-auxc-c-adv-v-coord-c-obj_co-n"
"589","#-pred-v-coord-c-pnom_co-a"
"590","#-pred-v-coord-c-pnom_co-a"
"591","#-coord-c-pred_co-v-auxc-c-adv-v-obj-n"
"592","#-coord-c-pred_co-v-auxc-c-adv-v-obj-n"
"593","#-coord-c-pred_co-v-sbj-n-atr-v"
"594","#-coord-c-pred_co-v-sbj-n-atr-v"
"595","#-coord-c-pred_co-v-auxp-r-obj-n-atr-n"
