463,Aeschylus,Athenaeus,Diodorus,Hdt,Hesiod,Iliad,Lysias,Odyssey,Plutarch,Polybius,Sophocles,Thucydides
464,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
465,Aeschylus,Athenaeus,Diodorus,Hdt,Hesiod,Iliad,Lysias,Odyssey,Plutarch,Polybius,Sophocles,Thucydides
466,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
467,Aeschylus,Athenaeus,Diodorus,Hdt,Hesiod,Iliad,Lysias,Odyssey,Plutarch,Polybius,Sophocles,Thucydides
468,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
469,Aeschylus,Athenaeus,Diodorus,Hdt,Hesiod,Iliad,Lysias,Odyssey,Plutarch,Polybius,Sophocles,Thucydides
470,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
471,Aeschylus,Athenaeus,Diodorus,Hdt,Hesiod,Iliad,Lysias,Odyssey,Plutarch,Polybius,Sophocles,Thucydides
472,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
473,Aeschylus,Athenaeus,Diodorus,Hdt,Hesiod,Iliad,Lysias,Odyssey,Plutarch,Polybius,Sophocles,Thucydides
474,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
475,Aeschylus,Athenaeus,Diodorus,Hdt,Hesiod,Iliad,Lysias,Odyssey,Plutarch,Polybius,Sophocles,Thucydides
476,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
477,Aeschylus,Athenaeus,Diodorus,Hdt,Hesiod,Iliad,Lysias,Odyssey,Plutarch,Polybius,Sophocles,Thucydides
478,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
479,Aeschylus,Athenaeus,Diodorus,Hdt,Hesiod,Iliad,Lysias,Odyssey,Plutarch,Polybius,Sophocles,Thucydides
480,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
481,Aeschylus,Athenaeus,Diodorus,Hdt,Hesiod,Iliad,Lysias,Odyssey,Plutarch,Polybius,Sophocles,Thucydides
482,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
483,Aeschylus,Athenaeus,Diodorus,Hdt,Hesiod,Iliad,Lysias,Odyssey,Plutarch,Polybius,Sophocles,Thucydides
484,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
485,Aeschylus,Athenaeus,Diodorus,Hdt,Hesiod,Iliad,Lysias,Odyssey,Plutarch,Polybius,Sophocles,Thucydides
486,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
487,Aeschylus,Athenaeus,Diodorus,Hdt,Hesiod,Iliad,Lysias,Odyssey,Plutarch,Polybius,Sophocles,Thucydides
488,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
