"","V1","V5","V10","V3","V12","V9","V11","V7","V8","V2","V13","V4","V6"
"1685",2031,"Plutarch","Athenaeus","Polybius","Hdt","Sophocles","Aeschylus","Thucydides","Hesiod","Odyssey","Iliad","Diodorus","Lysias"
"1686",2032,"0.995199433","0.004800563","3.99e-09","8.71e-15","9.57e-22","1.02e-26","6.62e-31","7.39e-37","3.76e-40","7.32e-44","4.46e-52","0"
"1687",2033,"Athenaeus","Sophocles","Hdt","Odyssey","Aeschylus","Iliad","Hesiod","Polybius","Plutarch","Thucydides","Diodorus","Lysias"
"1688",2034,"0.999942722","5.73e-05","6.05e-09","8.46e-10","2.49e-10","7.93e-16","7.01e-51","2.33e-60","1.26e-68","5.82e-122","7.29e-123","0"
"1689",2035,"Thucydides","Diodorus","Plutarch","Hdt","Polybius","Hesiod","Sophocles","Odyssey","Iliad","Athenaeus","Aeschylus","Lysias"
"1690",2036,"1","1.49e-10","1.27e-16","5.6e-26","1.81e-30","2.91e-57","1.63e-65","2.93e-68","1.46e-81","1.61e-92","1.29e-110","1.35e-215"
"1691",2037,"Sophocles","Athenaeus","Aeschylus","Odyssey","Polybius","Iliad","Hesiod","Diodorus","Hdt","Plutarch","Lysias","Thucydides"
"1692",2038,"1","3.76e-11","5.28e-15","1.13e-32","5.35e-44","6.07e-72","3.1e-94","7.61e-117","5.01e-163","2.78e-181","0","0"
"1693",2039,"Hdt","Aeschylus","Athenaeus","Sophocles","Hesiod","Iliad","Odyssey","Plutarch","Thucydides","Polybius","Diodorus","Lysias"
"1694",2040,"0.999999987","1.23e-08","2.33e-10","1.21e-10","2.54e-15","1.6e-15","5.8e-17","6.47e-47","8.5e-54","9.31e-61","0","0"
"1695",2041,"Hesiod","Aeschylus","Odyssey","Diodorus","Iliad","Sophocles","Athenaeus","Hdt","Lysias","Plutarch","Polybius","Thucydides"
"1696",2042,"1","1.56e-31","2.23e-67","5.41e-81","2.96e-83","1.32e-207","1.57e-246","0","0","0","0","0"
"1697",2043,"Polybius","Diodorus","Hdt","Plutarch","Thucydides","Hesiod","Athenaeus","Sophocles","Iliad","Odyssey","Aeschylus","Lysias"
"1698",2044,"0.999608471","0.000391529","1.59e-30","1.74e-31","5.55e-46","4.32e-68","9.2e-72","8.69e-74","1.63e-89","4.81e-103","1.23e-141","0"
"1699",2045,"Odyssey","Iliad","Aeschylus","Hdt","Athenaeus","Thucydides","Polybius","Plutarch","Hesiod","Sophocles","Diodorus","Lysias"
"1700",2046,"1","4.67e-11","2.11e-22","1.11e-74","2.66e-89","8.21e-206","2.5e-226","6.34e-290","2.03e-295","1.2e-295","0","0"
