"Homer_Iliad" "HomerJr_Odyssey"
"adv-co-coord-auxp-pred-root" 0.0276110160065004 0.0204675500342609
"auxy-coord-auxp-pred-co-coord-root" 0.0260332436632718 0.0222473369937618
"auxy-coord-exd-apos-pred-co-coord-root" 0.0457553979536293 0
"auxz-adv-auxc-coord-root" 0.0205110404619717 0.0284765913520152
"auxz-auxc-pred-co-coord-root" 0.0323443330361862 0.0151281891557581
"coord-sbj-pred-root" 0.0299776745213433 0.0177978695950095
"sbj-ap-co-coord-exd-apos-pred-co-coord-root" 0.0457553979536293 0
"atr-coord-pred-root" 0.0268221298348861 0.0204675500342609
"sbj-atr-co-coord-obj-pred-co-coord-root" 0.0362887638942577 0.00978882827725521
"auxp-atr-obj-pred-co-coord-root" 0.029188788349729 0.016907976115259
"auxz-atr-obj-pred-co-coord-root" 0.0205110404619717 0.0266968043925142
"auxz-exd-coord-root" 0.0126221787458288 0.035595739190019
"atr-obj-adv-co-coord-pred-co-coord-root" 0.0165666096039003 0.0302563783115161
"atr-obj-obj-co-coord-pred-co-coord-root" 0.0244554713200432 0.0213574435140114
"auxx-coord-sbj-pred-co-coord-root" 0.0141999510890574 0.0329260587507675
"auxz-atr-obj-pred-root" 0.0189332681187431 0.0275866978722647
"obj-auxp-obj-pred-root" 0.0228776989768146 0.0231372304735123
"atr-obj-adv-co-coord-auxc-pred-co-coord-root" 0.0220888128052003 0.0231372304735123
"atr-obj-auxp-adv-pred-root" 0.0260332436632718 0.01868776307476
"auxc-adv-pred-co-coord-root" 0.0236665851484289 0.0213574435140114
"auxg-exd-pred-root" 0 0.0480542479065256
"auxy-coord-sbj-pred-co-coord-root" 0.0260332436632718 0.01868776307476
"obj-auxp-pred-co-coord-coord-root" 0.0189332681187431 0.0266968043925142
"obj-auxc-pred-co-coord-root" 0.0228776989768146 0.0213574435140114
"adv-auxp-pred-co-coord-coord-root" 0.0173554957755146 0.0266968043925142
"atr-obj-ap-exd-apos-pred-root" 0.0354998777226434 0.00622925435825332
"auxp-adv-auxc-coord-root" 0.021299926633586 0.0222473369937618
"auxp-obj-co-coord-pred-root" 0.0268221298348861 0.0160180826355085
"auxp-sbj-pred-co-coord-root" 0.0236665851484289 0.0195776565545104
"coord-exd-pred-co-coord-root" 0.0339221053794148 0.00800904131775427
"obj-ap-co-coord-apos-pred-root" 0.0165666096039003 0.0275866978722647
"adv-auxp-adv-auxc-pred-co-coord-root" 0.0268221298348861 0.0151281891557581
"atr-atr-exd-pred-root" 0.0307665606929576 0.0106787217570057
"atr-sbj-atr-obj-pred-co-coord-root" 0.021299926633586 0.0213574435140114
"auxz-adv-co-coord-auxc-pred-root" 0.0197221542903574 0.0231372304735123
"pnom-obj-pred-root" 0.0165666096039003 0.0266968043925142
"auxp-coord-pred-root" 0.0181443819471288 0.0240271239532628
"auxy-atr-sbj-pred-co-coord-root" 0.0228776989768146 0.01868776307476
"auxy-coord-auxc-coord-root" 0.0134110649174431 0.0293664848317656
"auxy-coord-auxc-pred-co-coord-root" 0.0189332681187431 0.0231372304735123
"coord-auxp-pred-root" 0.0220888128052003 0.0195776565545104
"obj-auxp-adv-auxc-pred-co-coord-root" 0.0197221542903574 0.0222473369937618
"apos-coord-root" 0.00473331702968579 0.0382654196292704
"auxx-apos-pred-co-coord-root" 0.00867774788775728 0.033815952230518
"auxy-atr-obj-pred-co-coord-root" 0.029188788349729 0.0106787217570057
"auxy-coord-adv-pred-root" 0.0181443819471288 0.0231372304735123
"auxy-pred-co-coord-coord-root" 0.0189332681187431 0.0222473369937618
"exd-exd-pred-root" 0.0205110404619717 0.0204675500342609
"obj-co-coord-obj-pred-root" 0.0165666096039003 0.0249170174330133
"obj-obj-adv-auxc-pred-root" 0.0197221542903574 0.0213574435140114
"adv-co-auxp-coord-pred-co-coord-root" 0.0165666096039003 0.0240271239532628
"adv-sbj-pred-co-coord-root" 0.0252443574916575 0.0142382956760076
"atr-exd-co-coord-pred-root" 0.0283999021781147 0.0106787217570057
"auxy-coord-adv-auxc-pred-root" 0.015777723432286 0.0249170174330133
"sbj-adv-co-coord-auxc-coord-root" 0.0189332681187431 0.0213574435140114
"atr-sbj-ap-co-coord-apos-pred-co-coord-root" 0.0118332925742145 0.0284765913520152
"auxc-obj-pred-co-coord-root" 0.0165666096039003 0.0231372304735123
"auxx-coord-apos-pred-co-coord-root" 0.015777723432286 0.0240271239532628
"auxx-coord-sbj-pred-root" 0.0173554957755146 0.0222473369937618
"obj-co-coord-auxp-pred-root" 0.0205110404619717 0.01868776307476
"obj-sbj-pred-co-coord-root" 0.0244554713200432 0.0142382956760076
"ocomp-pred-co-coord-root" 0.015777723432286 0.0240271239532628
"atr-co-coord-obj-adv-auxc-pred-root" 0.015777723432286 0.0231372304735123
"auxp-adv-co-coord-auxc-pred-root" 0.0189332681187431 0.0195776565545104
"auxx-coord-adv-pred-co-coord-root" 0.0299776745213433 0.00711914783800379
"auxz-sbj-coord-root" 0.0165666096039003 0.0222473369937618
"coord-exd-apos-pred-co-coord-root" 0.0362887638942577 0
"obj-obj-auxc-pred-root" 0.021299926633586 0.016907976115259
"atr-atr-obj-adv-pred-co-coord-root" 0.0236665851484289 0.0133484021962571
"atr-obj-adv-co-coord-pred-root" 0.0189332681187431 0.01868776307476
"auxp-atv-obj-pred-co-coord-root" 0.021299926633586 0.0160180826355085
"coord-exd-pred-root" 0.0283999021781147 0.00800904131775427
"obj-adv-adv-auxc-pred-root" 0.0181443819471288 0.0195776565545104
"obj-atr-co-coord-obj-pred-root" 0.021299926633586 0.0160180826355085
