"","x"
"538","#-pred*c-*pred*v-*obj*pd"
"539","#-pred*c-*pred*v-*adv*r-*obl*nb*atr*pp"
"540","#-pred*c-*pred*v-*adv*r-*obl*nb*atr*pp"
"541","#-pred*c-*pred*v-*obl*r-*obl*ne"
"542","#-pred*c-*pred*v-*obl*r-*obl*ne"
"543","#-pred*v-*xobj*v-*obl*nb"
"544","#-pred*v-*xobj*v-*obl*nb"
"545","#-pred*adv*g-*pred*v-*aux*df"
"546","#-pred*adv*g-*pred*v-*aux*df"
"547","#-pred*v-*xobj*c-*xobj*a-"
"548","#-pred*v-*xobj*c-*xobj*a-"
"549","#-pred*adv*v-"
"550","#-pred*adv*v-"
"551","#-pred*v-*adv*g-*pred*v-*xobj*c-"
"552","#-pred*v-*adv*g-*pred*v-*xobj*c-"
"553","#-pred*xobj*r-*obl*pp"
"554","#-pred*xobj*r-*obl*pp"
"555","#-pred*v-*adv*v-*sub*nb"
"556","#-pred*v-*adv*v-*sub*nb"
"557","#-pred*v-*obj*a-*aux*s-"
"558","#-pred*v-*obj*a-*aux*s-"
"559","#-pred*v-*xobj*xobj*nb"
"560","#-pred*v-*xobj*xobj*nb"
"561","#-pred*sub*nb*atr*nb*aux*s-"
"562","#-pred*sub*nb*atr*nb*aux*s-"
"563","#-pred*sub*c-*sub*nb*aux*s-"
"564","#-pred*sub*c-*sub*nb*aux*s-"
"565","#-pred*v-*xadv*v-*xobj*c-*xobj*a-"
"566","#-pred*v-*xadv*v-*xobj*c-*xobj*a-"
"567","#-pred*xobj*r-*obl*nb*aux*s-"
"568","#-pred*xobj*r-*obl*nb*aux*s-"
"569","#-pred*xobj*xobj*nb*atr*a-"
"570","#-pred*xobj*xobj*nb*atr*a-"
"571","#-pred*v-*adv*r-*obl*px"
"572","#-pred*v-*adv*r-*obl*px"
"573","#-pred*pred"
"574","#-pred*pred"
"575","#-pred*v-*adv*du"
"576","#-pred*v-*adv*du"
"577","#-pred*v-*obj*v-*aux*s-"
